# Synthetic illustrative data for demo only; not real monument footfall.
day_of_week,hour,expected_density
Mon,0,LOW
Mon,1,LOW
Mon,2,LOW
Mon,3,LOW
Mon,4,LOW
Mon,5,LOW
Mon,6,LOW
Mon,7,LOW
Mon,8,LOW
Mon,9,LOW
Mon,10,LOW
Mon,11,MEDIUM
Mon,12,MEDIUM
Mon,13,MEDIUM
Mon,14,MEDIUM
Mon,15,MEDIUM
Mon,16,MEDIUM
Mon,17,MEDIUM
Mon,18,MEDIUM
Mon,19,MEDIUM
Mon,20,LOW
Mon,21,LOW
Mon,22,LOW
Mon,23,LOW
Tue,0,LOW
Tue,1,LOW
Tue,2,LOW
Tue,3,LOW
Tue,4,LOW
Tue,5,LOW
Tue,6,LOW
Tue,7,LOW
Tue,8,LOW
Tue,9,LOW
Tue,10,LOW
Tue,11,MEDIUM
Tue,12,MEDIUM
Tue,13,MEDIUM
Tue,14,MEDIUM
Tue,15,MEDIUM
Tue,16,MEDIUM
Tue,17,MEDIUM
Tue,18,MEDIUM
Tue,19,MEDIUM
Tue,20,LOW
Tue,21,LOW
Tue,22,LOW
Tue,23,LOW
Wed,0,LOW
Wed,1,LOW
Wed,2,LOW
Wed,3,LOW
Wed,4,LOW
Wed,5,LOW
Wed,6,LOW
Wed,7,LOW
Wed,8,LOW
Wed,9,LOW
Wed,10,LOW
Wed,11,MEDIUM
Wed,12,MEDIUM
Wed,13,MEDIUM
Wed,14,MEDIUM
Wed,15,MEDIUM
Wed,16,MEDIUM
Wed,17,MEDIUM
Wed,18,MEDIUM
Wed,19,MEDIUM
Wed,20,LOW
Wed,21,LOW
Wed,22,LOW
Wed,23,LOW
Thu,0,LOW
Thu,1,LOW
Thu,2,LOW
Thu,3,LOW
Thu,4,LOW
Thu,5,LOW
Thu,6,LOW
Thu,7,LOW
Thu,8,LOW
Thu,9,LOW
Thu,10,LOW
Thu,11,MEDIUM
Thu,12,MEDIUM
Thu,13,MEDIUM
Thu,14,MEDIUM
Thu,15,MEDIUM
Thu,16,MEDIUM
Thu,17,MEDIUM
Thu,18,MEDIUM
Thu,19,MEDIUM
Thu,20,LOW
Thu,21,LOW
Thu,22,LOW
Thu,23,LOW
Fri,0,LOW
Fri,1,LOW
Fri,2,LOW
Fri,3,LOW
Fri,4,LOW
Fri,5,LOW
Fri,6,LOW
Fri,7,LOW
Fri,8,LOW
Fri,9,LOW
Fri,10,LOW
Fri,11,MEDIUM
Fri,12,MEDIUM
Fri,13,MEDIUM
Fri,14,MEDIUM
Fri,15,MEDIUM
Fri,16,MEDIUM
Fri,17,HIGH
Fri,18,HIGH
Fri,19,HIGH
Fri,20,LOW
Fri,21,LOW
Fri,22,LOW
Fri,23,LOW
Sat,0,LOW
Sat,1,LOW
Sat,2,LOW
Sat,3,LOW
Sat,4,LOW
Sat,5,LOW
Sat,6,LOW
Sat,7,LOW
Sat,8,MEDIUM
Sat,9,MEDIUM
Sat,10,HIGH
Sat,11,HIGH
Sat,12,HIGH
Sat,13,HIGH
Sat,14,MEDIUM
Sat,15,MEDIUM
Sat,16,MEDIUM
Sat,17,HIGH
Sat,18,HIGH
Sat,19,HIGH
Sat,20,MEDIUM
Sat,21,LOW
Sat,22,LOW
Sat,23,LOW
Sun,0,LOW
Sun,1,LOW
Sun,2,LOW
Sun,3,LOW
Sun,4,LOW
Sun,5,LOW
Sun,6,LOW
Sun,7,LOW
Sun,8,MEDIUM
Sun,9,MEDIUM
Sun,10,HIGH
Sun,11,HIGH
Sun,12,HIGH
Sun,13,HIGH
Sun,14,MEDIUM
Sun,15,MEDIUM
Sun,16,MEDIUM
Sun,17,HIGH
Sun,18,HIGH
Sun,19,HIGH
Sun,20,MEDIUM
Sun,21,LOW
Sun,22,LOW
Sun,23,LOW
